skillId,name,verbatimDescription,shortDescription,contextNotes,skillType,tier,taxonomyGroupIds,trainingGroupIds,minimumSocietyLevel,typicalSocietyTypeIds,dependencyRules,secondaryOfSkillId,specializationOfSkillId,specializationMinimumParentLevel,notes,isTheoretical,characteristicIds,sortOrder
lance,Lance,Lance,"Fight with lance-type weapons, especially in mounted or reach-based military use.",Core cavalry attack family.,combat,primary,"[""combat_group""]","[""mounted_warrior_training""]",2,[],"[{""skillId"": ""riding"", ""strength"": ""recommended""}]",,,,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],207
throwing,Throwing,Throwing,"Attack accurately with thrown weapons such as javelins, knives, or axes.",Practical ranged family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],208
sling,Sling,Sling,Use sling-based missile weapons effectively in combat or hunting.,Distinct missile family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],209
bow,Bow,Bow,Use ordinary bows effectively in combat or hunting.,Core ranged family.,combat,primary,"[""combat_group""]",[],1,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],210
longbow,Longbow,Longbow,"Use powerful longbows requiring strength, discipline, and trained missile technique.",More specialized than ordinary bow use.,combat,primary,"[""combat_group""]",[],2,[],"[{""skillId"": ""bow"", ""strength"": ""helpful""}]",,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],211
crossbow,Crossbow,Crossbow,Use mechanically spanned missile weapons effectively in combat.,Later-society missile family.,combat,primary,"[""combat_group""]",[],3,[],[],,,,Themistogenes Skills sheet: Combat skill; source stats Dex / Dex.,False,[],212
combat_experience,Combat Experience,,Stay functional and rational under lethal danger and battlefield shock.,Veteran-facing secondary; not baseline novice training.,military,secondary,"[""military_group""]","[""veteran_soldiering"", ""veteran_leadership""]",1,[],[],,,,,False,[],213
battlefield_awareness,Battlefield Awareness,,"Read immediate battlefield danger, openings, movement, and changing threats under pressure.",Military layer above general Perception.,military,secondary,"[""military_group""]","[""field_soldiering"", ""veteran_soldiering""]",2,[],"[{""skillId"": ""perception"", ""strength"": ""required""}]",,,,,False,[],214
formation_fighting,Formation Fighting,,"Hold place and fight coherently within a rank, line, shield wall, or drilled group.",Key line-troop skill.,military,secondary,"[""military_group""]","[""defensive_soldiering""]",2,[],"[{""skillId"": ""parry"", ""strength"": ""recommended""}]",,,,,False,[],215
mounted_combat,Mounted Combat,,"Fight effectively while mounted and control attack timing, position, and weapon use in motion.",Mounted support skill.,combat,secondary,"[""combat_group"", ""military_group""]",[],2,[],"[{""skillId"": ""riding"", ""strength"": ""required""}]",,,,,False,[],216
tactics,Tactics,,"Understand battlefield positioning, timing, coordination, and practical combat plans.",Officer and planner skill distinct from direct troop-control.,military,primary,"[""military_group""]","[""officer_training"", ""veteran_leadership""]",2,[],"[{""skillId"": ""perception"", ""strength"": ""helpful""}, {""skillId"": ""literacy"", ""strength"": ""helpful""}]",,,,,False,[],217
captaincy,Captaincy,Captaincy,"Lead fighters, maintain order, and get people to act coherently under pressure.",Practical troop-control and morale skill; distinct from Tactics.,military,primary,"[""military_group""]","[""officer_training"", ""veteran_leadership""]",2,[],"[{""skillId"": ""insight"", ""strength"": ""helpful""}, {""skillId"": ""oratory"", ""strength"": ""helpful""}, {""skillId"": ""combat_experience"", ""strength"": ""helpful""}]",,,,Themistogenes Skills sheet: Social skill; source stats Pow / Pow.,False,[],218
fencing,Fencing,Fencing,Fight with fast refined civilian or dueling blades such as rapier and related weapons.,Advanced level-6 style branch.,combat,specialization,"[""combat_group""]",[],6,"[""renaissance_city_state""]","[{""skillId"": ""one_handed_edged"", ""strength"": ""required""}, {""skillId"": ""dodge"", ""strength"": ""helpful""}, {""skillId"": ""parry"", ""strength"": ""helpful""}]",,one_handed_edged,6.0,Themistogenes Skills sheet: Combat skill; source stats Str / Dex; note: 'Use either stat'.,False,[],219
sword_and_buckler_or_main_gauche_style,Sword & Buckler / Main-Gauche Style,,Fight using a main blade with an active off-hand defensive or companion weapon.,Future style branch.,combat,specialization,"[""combat_group""]",[],4,[],"[{""skillId"": ""one_handed_edged"", ""strength"": ""required""}, {""skillId"": ""parry"", ""strength"": ""required""}]",,one_handed_edged,6.0,,False,[],220
gladiatorial_style,Gladiatorial Style,,Fight within a specialized weapon-and-style tradition designed for formal duel or arena contexts.,Placeholder family for later gladiatorial branches.,combat,specialization,"[""combat_group""]",[],3,[],[],,,6.0,Parent attack skill depends on branch.,False,[],221
regional_martial_style,Regional Martial Style,,Apply a named regional or school-based martial tradition using an existing weapon family or unarmed parent.,"Placeholder family for later Japanese, Chinese, ninja, samurai, and similar traditions.",combat,specialization,"[""combat_group""]",[],1,[],[],,,6.0,Parent skill varies by branch.,False,[],222
